2025-01-15 10:22:04 | DEBUG    | trading_bot.client | BinanceClient initialised (base_url=https://testnet.binancefuture.com)
2025-01-15 10:22:04 | INFO     | trading_bot.cli | Order request: symbol=BTCUSDT side=BUY type=MARKET qty=0.01 price=None stop=None
2025-01-15 10:22:04 | DEBUG    | trading_bot.client | → POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.01', 'timestamp': 1736936524312, 'recvWindow': 5000, 'signature': 'a3f9c...redacted'}
2025-01-15 10:22:04 | DEBUG    | trading_bot.client | ← POST /fapi/v1/order  status=200  body={"orderId":4059152775,"symbol":"BTCUSDT","status":"FILLED","clientOrderId":"x-HNAaBJi4f2e1f3d5a6b","price":"0","avgPrice":"97241.50000","origQty":"0.01","executedQty":"0.01","cumQty":"0.01","cumQuote":"972.41500","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","updateTime":1736936524388}
2025-01-15 10:22:04 | INFO     | trading_bot.orders | Order accepted: id=4059152775 symbol=BTCUSDT status=FILLED executedQty=0.01 avgPrice=97241.50000
2025-01-15 10:22:31 | DEBUG    | trading_bot.client | BinanceClient initialised (base_url=https://testnet.binancefuture.com)
2025-01-15 10:22:31 | INFO     | trading_bot.cli | Order request: symbol=BTCUSDT side=SELL type=LIMIT qty=0.01 price=99500.0 stop=None
2025-01-15 10:22:31 | DEBUG    | trading_bot.client | → POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.01', 'price': '99500.0', 'timeInForce': 'GTC', 'timestamp': 1736936551047, 'recvWindow': 5000, 'signature': 'b7e2d...redacted'}
2025-01-15 10:22:31 | DEBUG    | trading_bot.client | ← POST /fapi/v1/order  status=200  body={"orderId":4059154102,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"x-HNAaBJi8c3a2b4f1e9d","price":"99500","avgPrice":"0","origQty":"0.01","executedQty":"0","cumQty":"0","cumQuote":"0","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","updateTime":1736936551183}
2025-01-15 10:22:31 | INFO     | trading_bot.orders | Order accepted: id=4059154102 symbol=BTCUSDT status=NEW executedQty=0 avgPrice=0
2025-01-15 10:23:10 | DEBUG    | trading_bot.client | BinanceClient initialised (base_url=https://testnet.binancefuture.com)
2025-01-15 10:23:10 | INFO     | trading_bot.cli | Order request: symbol=BTCUSDT side=SELL type=STOP_MARKET qty=0.01 price=None stop=90000.0
2025-01-15 10:23:10 | DEBUG    | trading_bot.client | → POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': '0.01', 'stopPrice': '90000.0', 'timestamp': 1736936590214, 'recvWindow': 5000, 'signature': 'c1d8e...redacted'}
2025-01-15 10:23:10 | DEBUG    | trading_bot.client | ← POST /fapi/v1/order  status=200  body={"orderId":4059155348,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"x-HNAaBJi9e4c3b5d2a7f","price":"0","avgPrice":"0","origQty":"0.01","executedQty":"0","cumQty":"0","cumQuote":"0","timeInForce":"GTC","type":"STOP_MARKET","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"90000","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"STOP_MARKET","updateTime":1736936590301}
2025-01-15 10:23:10 | INFO     | trading_bot.orders | Order accepted: id=4059155348 symbol=BTCUSDT status=NEW executedQty=0 avgPrice=0
2025-01-15 10:25:48 | WARNING  | trading_bot.cli | Validation error: Price is required for LIMIT orders.
2025-01-15 10:26:02 | WARNING  | trading_bot.cli | Validation error: Quantity must be greater than zero, got -0.5.
2025-01-15 10:27:15 | ERROR    | trading_bot.orders | API error placing order: code=-2019 msg=Margin is insufficient.
2026-05-19 09:08:22 | DEBUG    | trading_bot.client | BinanceClient initialised (base_url=https://testnet.binancefuture.com)
2026-05-19 09:08:22 | WARNING  | trading_bot.cli | Validation error: Invalid side 'LONG'. Must be one of: BUY, SELL.
